gold_id,set,outcome_text,v3_gold,v3_suggested,v3_alternates,via_v2,via_2x,needs_review,review_reason,codebook_gap,expected_uncoded,adjudication_note,status,adjudicated_by,adjudicated_on
H027,heldout,Families reported feeling more confident managing household finances.,,"F2.1 Income, Benefits & Financial Stability",,F2.1,F2.1,no,,0,false,,proposed,,
H028,heldout,Youth organizers led a campaign that resulted in a new city ordinance extending youth curfew hours during summer months.,,"Y6.4 Civic Voice, Leadership & Participation",A3.1 Policy & Institutional Change,Y6.4,Y6.4,no,,0,false,,proposed,,
H029,heldout,Participants increased their knowledge of the voter registration process and registered eligible peers.,,Y6.2 Civic Knowledge,"Y6.4 Civic Voice, Leadership & Participation",Y6.2,Y6.2,no,,0,false,,proposed,,
H030,heldout,Youth reported an increased sense that they can influence decisions in their community.,,"Y6.4 Civic Voice, Leadership & Participation","Y5.4 Confidence, Self-Efficacy & Self-Worth | Y5.6 Agency, Self-Determination & Self-Advocacy",Y6.4,Y6.4,no,,0,false,,proposed,,
H031,heldout,Students correctly identified 80% more native plant and animal species on post-program assessments compared to pre-tests.,"Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering",Y1.5 Other Academic Subjects | Y6.6 Environmental Stewardship,Y1.4,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
H032,heldout,Youth completed a 3-day backpacking expedition and demonstrated leadership in group decision-making.,"Y4.7 Teamwork, Collaboration & Group Leadership","Y4.7 Teamwork, Collaboration & Group Leadership","Y6.4 Civic Voice, Leadership & Participation | Y4.10 Decision-Making & Problem-Solving",Y4.7,Y6.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H033,heldout,Participants reported increased comfort and confidence spending time outdoors.,,"Y5.4 Confidence, Self-Efficacy & Self-Worth",Y6.6 Environmental Stewardship,Y5.4,Y5.4,no,,0,false,,proposed,,
H034,heldout,Students receiving counseling showed a reduction in self-reported anxiety symptoms on the GAD-7 screener.,,Y8.6 Mental Health Symptoms & Distress,Y8.9 Mental Health Service Access & Use,Y8.6,Y8.6,no,,0,false,,proposed,,
H035,heldout,Referrals to the school-based clinician increased 20% following staff training on warning signs of distress.,,Y8.9 Mental Health Service Access & Use,A1.2 Practice Change,Y8.9,Y8.9,no,,0,false,,proposed,,
H036,heldout,Youth developed healthier coping strategies for managing stress.,,Y4.2 Emotion Regulation & Coping,Y8.6 Mental Health Symptoms & Distress,Y4.2,Y4.2,no,,0,false,,proposed,,
H037,heldout,Participants reported delaying the age of first alcohol use.,,Y8.11 Substance Use,Y4.12 Risk Avoidance & Refusal Skills,Y8.11,Y8.11,no,,0,false,,proposed,,
H038,heldout,Youth increased their knowledge of the health risks associated with vaping and e-cigarette use.,,Y8.11 Substance Use,Y8.3 Health Knowledge & Safety Skills,Y8.11,Y8.11,no,,0,false,,proposed,,
H039,heldout,The program delivered prevention curricula to 500 students across 6 partner schools this year.,,"A2.5 Participation, Dosage & Reach (Output)",,A2.5,A2.5,no,,0,false,,proposed,,
H040,heldout,Students demonstrated improved conflict de-escalation skills in post-training role-play assessments.,,Y4.8 Relationship-Building & Conflict Resolution,Y4.2 Emotion Regulation & Coping,Y4.8,Y4.8,no,,0,false,,proposed,,
H041,heldout,School staff reported a decrease in physical altercations following implementation of the restorative justice program.,,"Y8.12 Violence, Bullying & Victimization",Y1.14 Exclusionary Discipline,Y8.12,Y8.12,no,,0,false,,proposed,,
H042,heldout,Youth feel safer walking to and from school.,Y8.10 Felt Safety,Y8.10 Felt Safety,Y3.1 Belonging & Mattering,Y8.10,Y8.10,yes,2.x code 6.1 was split,0,false,,adjudicated,Severin,2026-09-26
H043,heldout,70% of youth released from detention had no new adjudications within 12 months of release.,,"Y8.13 Justice Involvement, Diversion & Reentry",,Y8.13,Y8.13,no,,0,false,,proposed,,
H044,heldout,Participants secured stable housing and enrolled in school or employment within 30 days of release.,,F2.3 Housing Stability & Safe Living Situation,"Y8.13 Justice Involvement, Diversion & Reentry | Y1.17 High School Completion & Re-engagement",F2.3,F2.3,no,,0,false,,proposed,,
H045,heldout,Youth improved their ability to set and work toward personal goals.,,"Y4.3 Goal-Setting, Organization & Self-Discipline","Y5.6 Agency, Self-Determination & Self-Advocacy",Y4.3,Y4.3,no,,0,false,,proposed,,
H046,heldout,"Youth aging out of care obtained a state-issued ID, Social Security card, and birth certificate before turning 18.",Y7.7 Independent Living Skills,Y7.7 Independent Living Skills,Y7.2 College & Career Transition Knowledge,Y7.7,Y7.2,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H047,heldout,"Young people reported having at least one permanent, supportive adult connection.",,Y3.2 Supportive Adult Relationships,Y3.5 Social Capital & Networks,Y3.2,Y3.2,no,,0,false,,proposed,,
H048,heldout,"Participants increased their independent living skills, including cooking, budgeting, and using public transit.",Y7.7 Independent Living Skills,Y7.7 Independent Living Skills,"Y4.3 Goal-Setting, Organization & Self-Discipline | Y7.6 Financial Capability",Y7.7,Y4.3,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H049,heldout,Youth exited the shelter into safe and stable housing.,,F2.3 Housing Stability & Safe Living Situation,,F2.3,F2.3,no,,0,false,,proposed,,
H050,heldout,Participants engaged in case management and reduced the number of nights spent unsheltered.,F2.3 Housing Stability & Safe Living Situation,F2.3 Housing Stability & Safe Living Situation,"F2.1 Income, Benefits & Financial Stability | Y8.9 Mental Health Service Access & Use",F2.3,F2.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H051,heldout,Youth reported an increased sense of safety and trust in program staff.,Y3.1 Belonging & Mattering,Y3.1 Belonging & Mattering,Y8.10 Felt Safety,Y3.1,Y8.10,yes,v2 and 2.x routes disagree; 2.x code 6.1 was split,0,false,,adjudicated,Severin,2026-09-26
H052,heldout,Teen mothers continued or re-enrolled in school within 6 weeks of giving birth.,Y1.13 Attendance & School Stability,Y1.13 Attendance & School Stability,"Y1.15 Grades, Credits & On-Track Status | Y1.17 High School Completion & Re-engagement",Y1.13,Y1.15,yes,v2 and 2.x routes disagree; 2.x code 1.6 was split,0,false,,adjudicated,Severin,2026-09-26
H053,heldout,"Parenting participants demonstrated improved knowledge of infant health and safety practices, including safe sleep.",,F1.1 Parenting Knowledge & Practices,Y8.3 Health Knowledge & Safety Skills,F1.1,F1.1,no,,0,false,,proposed,,
H054,heldout,Young parents feel more confident in their parenting abilities and less isolated from peers.,,F1.1 Parenting Knowledge & Practices,"Y5.4 Confidence, Self-Efficacy & Self-Worth",F1.1,F1.1,no,,0,false,,proposed,,
H055,heldout,Youth reported a decrease in feelings of isolation after joining the support group.,Y3.1 Belonging & Mattering,Y3.1 Belonging & Mattering,Y3.3 Peer Relationships & Friendship | Y8.6 Mental Health Symptoms & Distress,Y3.1,Y3.3,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H056,heldout,Participants identified at least one trusted adult they could turn to for support.,,Y3.2 Supportive Adult Relationships,,Y3.2,Y3.2,no,,0,false,,proposed,,
H057,heldout,The program fostered a more welcoming and affirming environment for LGBTQ+ youth.,A2.1 Program Quality,A2.1 Program Quality,"A2.4 Inclusion, Accommodations & Language Access | Y3.1 Belonging & Mattering",A2.1,A2.4,yes,v2 and 2.x routes disagree,0,false,Severin: I feel like this is an edge case where I am torn between A2.1 and Y3.1.,adjudicated,Severin,2026-09-26
H058,heldout,Youth with disabilities participated in inclusive recreational activities alongside peers without disabilities.,,"A2.4 Inclusion, Accommodations & Language Access",,A2.4,A2.4,no,,0,false,,proposed,,
H059,heldout,Parents of children with disabilities reported increased knowledge of their child's rights under IDEA.,F1.7 System Navigation & Rights Knowledge,F1.7 System Navigation & Rights Knowledge,F1.1 Parenting Knowledge & Practices,F1.7,F1.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H060,heldout,Participants demonstrated improved self-advocacy skills during IEP meetings.,"Y5.6 Agency, Self-Determination & Self-Advocacy","Y5.6 Agency, Self-Determination & Self-Advocacy","Y6.4 Civic Voice, Leadership & Participation | Y4.6 Communication & Public Speaking",Y5.6,Y6.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H061,heldout,Families increased their understanding of the U.S. school enrollment and healthcare systems.,F1.7 System Navigation & Rights Knowledge,F1.7 System Navigation & Rights Knowledge,Y6.2 Civic Knowledge,F1.7,Y6.2,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H062,heldout,Adult participants improved their English language proficiency by one CASAS level.,"F1.6 Adult Education, Skills & Employment","F1.6 Adult Education, Skills & Employment",Y1.2 English Language Development & Multilingualism,F1.6,Y1.2,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H063,heldout,Youth reported feeling more connected to their new community.,,Y3.1 Belonging & Mattering,Y3.5 Social Capital & Networks,Y3.1,Y3.1,no,,0,false,,proposed,,
H064,heldout,Children demonstrated age-appropriate developmental milestones on the Ages & Stages Questionnaire.,,Y1.8 Early Learning & School Readiness,Y8.2 Motor & Sport Skills,Y1.8,Y1.8,no,,0,false,,proposed,,
H065,heldout,"Home visitors conducted monthly visits, and caregivers reported increased confidence supporting early literacy at home.",,"A2.5 Participation, Dosage & Reach (Output)",F1.1 Parenting Knowledge & Practices,A2.5,A2.5,no,,0,false,,proposed,,
H066,heldout,First-time mothers initiated and sustained breastfeeding for at least six months.,F1.3 Family Health Practices,F1.3 Family Health Practices,F1.1 Parenting Knowledge & Practices,F1.3,F1.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H067,heldout,Families increased household income while parents completed occupational skills training.,,"F2.1 Income, Benefits & Financial Stability","F1.6 Adult Education, Skills & Employment",F2.1,F2.1,no,,0,false,,proposed,,
H068,heldout,Parents reported improved communication and reduced conflict with their children.,,F1.1 Parenting Knowledge & Practices,Y3.4 Family Relationships,F1.1,F1.1,no,,0,false,,proposed,,
H069,heldout,Caregivers connected to at least two new community resources or public benefits.,F1.7 System Navigation & Rights Knowledge,F1.7 System Navigation & Rights Knowledge,"F2.1 Income, Benefits & Financial Stability",F1.7,F2.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H070,heldout,Households reported reduced food insecurity as measured by the USDA six-item screener.,,F2.2 Food Security,,F2.2,F2.2,no,,0,false,,proposed,,
H071,heldout,"The pantry distributed 50,000 pounds of food to 1,200 households this quarter.",,"A2.5 Participation, Dosage & Reach (Output)",F2.2 Food Security,A2.5,A2.5,no,,0,false,,proposed,,
H072,heldout,Families increased their weekly consumption of fresh fruits and vegetables.,F1.3 Family Health Practices,F1.3 Family Health Practices,F2.2 Food Security,F1.3,F2.2,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H073,heldout,Participants exited transitional housing into permanent housing and maintained it for at least six months.,,F2.3 Housing Stability & Safe Living Situation,,F2.3,F2.3,no,,0,false,,proposed,,
H074,heldout,Households reduced their rent burden to below 30% of income.,,F2.3 Housing Stability & Safe Living Situation,"F2.1 Income, Benefits & Financial Stability",F2.3,F2.3,no,,0,false,,proposed,,
H075,heldout,Case managers helped clients complete and submit applications for housing choice vouchers.,F2.3 Housing Stability & Safe Living Situation,"A2.5 Participation, Dosage & Reach (Output)",,A2.5,F2.3,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H076,heldout,Households received a laptop and broadband subsidy and reported increased ability to complete tasks online.,,A2.3 Access to Resources,"F2.1 Income, Benefits & Financial Stability",A2.3,A2.3,no,,0,false,,proposed,,
H077,heldout,"Participants improved their digital literacy skills, including email and video conferencing.","Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering",Y1.5 Other Academic Subjects,Y1.4,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,1,false,Severin: This feels like it is about skills that are not purely academic. Perhaps they could be coded as being digital skills related to career readiness or workforce skills?,adjudicated,Severin,2026-09-26
H078,heldout,Older adults reported feeling less anxious using technology.,"F1.6 Adult Education, Skills & Employment","F1.6 Adult Education, Skills & Employment",Y8.6 Mental Health Symptoms & Distress,F1.6,Y8.6,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H079,heldout,Youth grew in their faith and felt a stronger connection to their spiritual community.,Y5.5 Purpose & Future Orientation,Y5.5 Purpose & Future Orientation,Y3.5 Social Capital & Networks | Y6.1 Positive Values & Character,Y5.5,Y5.5,yes,2.x code 6.4 was split,0,false,,adjudicated,Severin,2026-09-26
H080,heldout,Participants attended weekly youth group and volunteered at least once in the community this semester.,"A2.5 Participation, Dosage & Reach (Output)",Y2.6 Participation in Enriching Activities,Y6.5 Community Service & Action,Y2.6,A2.5,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
H081,heldout,Teens reported increased trust in adult mentors within the congregation.,,Y3.2 Supportive Adult Relationships,Y3.5 Social Capital & Networks,Y3.2,Y3.2,no,,0,false,,proposed,,
H082,heldout,"Campers demonstrated improved swimming proficiency, advancing at least one skill level.",Y8.2 Motor & Sport Skills,Y8.2 Motor & Sport Skills,Y8.1 Healthy Daily Habits,Y8.2,Y8.1,yes,v2 and 2.x routes disagree; 2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
H083,heldout,Youth reported making new friends and feeling a sense of belonging at camp.,,Y3.3 Peer Relationships & Friendship,Y3.1 Belonging & Mattering,Y3.3,Y3.3,no,,0,false,,proposed,,
H084,heldout,4-H members completed their project record books and presented them at the county fair.,,"Y4.3 Goal-Setting, Organization & Self-Discipline",Y1.9 Academic Engagement Behaviors,Y4.3,Y4.3,no,,0,false,,proposed,,
H085,heldout,Adolescents increased their knowledge of nutrition and made healthier food choices in the school cafeteria.,Y8.1 Healthy Daily Habits,Y8.1 Healthy Daily Habits,Y8.3 Health Knowledge & Safety Skills,Y8.1,Y8.1,yes,2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
H086,heldout,Participants reduced recreational screen time to less than 2 hours per day.,Y8.1 Healthy Daily Habits,Y8.1 Healthy Daily Habits,,Y8.1,Y8.1,yes,2.x code 8.1 was split,0,false,,adjudicated,Severin,2026-09-26
H087,heldout,See attached logic model for a full list of outcome measures.,,none,,none,none,no,,0,true,,proposed,,
H088,heldout,Outcomes: Systems and Policy Change,,none,A3.1 Policy & Institutional Change,none,none,no,,0,true,,proposed,,
H089,heldout,The coalition secured a new local ordinance restricting youth access to flavored tobacco products.,A3.1 Policy & Institutional Change,A3.1 Policy & Institutional Change,Y8.11 Substance Use,A3.1,A3.1,yes,2.x code 11.3 was split,0,false,,adjudicated,Severin,2026-09-26
H090,heldout,Member organizations reported increased collaboration and shared data across systems serving youth.,A3.2 Cross-Sector Partnerships,A3.2 Cross-Sector Partnerships,A3.1 Policy & Institutional Change,A3.2,A3.1,yes,v2 and 2.x routes disagree; 2.x code 11.3 was split,0,false,,adjudicated,Severin,2026-09-26
S001,design,Youth with disabilities will participate fully in program activities alongside their peers.,"A2.4 Inclusion, Accommodations & Language Access",Y2.6 Participation in Enriching Activities,,Y2.6,A2.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S002,design,Youth will be able to name three methods of preventing sexually transmitted infections.,,Y8.4 Sexual & Reproductive Health,Y8.3 Health Knowledge & Safety Skills,Y8.4,Y8.4,no,,0,false,,proposed,,
S003,design,Youth will choose to return to the program for a second year.,Y2.6 Participation in Enriching Activities,Y2.6 Participation in Enriching Activities,"A2.5 Participation, Dosage & Reach (Output)",Y2.6,A2.5,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S004,design,Youth will take turns leading their small group during project work.,,"Y4.7 Teamwork, Collaboration & Group Leadership","Y6.4 Civic Voice, Leadership & Participation",Y4.7,Y4.7,no,,0,false,,proposed,,
S005,design,Youth will complete 20 hours of community service at local nonprofits.,,Y6.5 Community Service & Action,"A2.5 Participation, Dosage & Reach (Output)",Y6.5,Y6.5,no,,0,false,,proposed,,
S006,design,Parents will receive financial coaching and increase household savings.,,"F2.1 Income, Benefits & Financial Stability",Y7.6 Financial Capability,F2.1,F2.1,no,,0,false,,proposed,,
S007,design,Youth will demonstrate increased willingness to seek help when struggling emotionally.,,Y4.9 Help-Seeking & Offering Support,Y8.9 Mental Health Service Access & Use,Y4.9,Y4.9,no,,0,false,,proposed,,
S008,design,Students will say they feel proud to be part of the program.,Y2.1 Enjoyment & Joy,Y2.1 Enjoyment & Joy,Y3.1 Belonging & Mattering,Y2.1,Y3.1,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S009,design,Refugee youth will develop a strong sense of both their heritage culture and their new community.,,Y5.2 Cultural & Social Identity,Y5.1 Self-Understanding & Identity Exploration,Y5.2,Y5.2,no,,0,false,,proposed,,
S010,design,Program staff will collect pre- and post-surveys from all participants.,,none,"A2.5 Participation, Dosage & Reach (Output)",none,none,no,,0,true,,proposed,,
S011,design,Participants will benefit from high-quality programming.,,none,A2.1 Program Quality,none,none,no,,0,true,,proposed,,
S012,design,Youth will demonstrate honesty and integrity.,,Y6.1 Positive Values & Character,,Y6.1,Y6.1,no,,0,false,,proposed,,
S013,design,"Youth will take action to reduce waste at home, such as recycling and composting.",Y6.6 Environmental Stewardship,Y6.6 Environmental Stewardship,Y6.5 Community Service & Action | Y4.11 Ethical & Prosocial Choices,Y6.6,Y6.5,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S014,design,Seniors will complete college-level coursework to be ready for freshman year.,Y1.16 Advanced Coursework & Dual Credit,Y1.16 Advanced Coursework & Dual Credit,"Y1.5 Other Academic Subjects | Y1.15 Grades, Credits & On-Track Status",Y1.16,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 9.1 was split,0,false,,adjudicated,Severin,2026-09-26
S015,design,Students will perceive greater risk of harm from regular marijuana use.,,Y8.11 Substance Use,,Y8.11,Y8.11,no,,0,false,,proposed,,
S016,design,Youth will deepen their spiritual life and relationship with God.,Y5.5 Purpose & Future Orientation,Y5.5 Purpose & Future Orientation,Y6.1 Positive Values & Character,Y5.5,Y5.5,yes,2.x code 6.4 was split,0,false,,adjudicated,Severin,2026-09-26
S017,design,Newcomer families will understand their rights regarding school enrollment regardless of immigration status.,F1.7 System Navigation & Rights Knowledge,F1.7 System Navigation & Rights Knowledge,"Y6.2 Civic Knowledge | A2.4 Inclusion, Accommodations & Language Access",F1.7,Y6.2,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S018,design,Youth diverted from court will complete their restorative agreement.,,"Y8.13 Justice Involvement, Diversion & Reentry",,Y8.13,Y8.13,no,,0,false,,proposed,,
S019,design,The city will allocate dedicated funding for summer youth employment in the annual budget.,A3.1 Policy & Institutional Change,A3.1 Policy & Institutional Change,,A3.1,A3.1,yes,2.x code 11.3 was split,0,false,,adjudicated,Severin,2026-09-26
S020,design,"Participants will earn an industry-recognized certification (OSHA-10, ServSafe, CPR).",,"Y7.4 Technical Skills, Credentials & Work-Based Learning",Y8.3 Health Knowledge & Safety Skills,Y7.4,Y7.4,no,,0,false,,proposed,,
S021,design,Youth will build a supportive peer community within the youth group.,,Y3.3 Peer Relationships & Friendship,Y3.1 Belonging & Mattering,Y3.3,Y3.3,no,,0,false,,proposed,,
S022,design,Families will establish a consistent bedtime and daily routine at home.,,F1.2 Home Learning Environment & Routines,Y8.1 Healthy Daily Habits,F1.2,F1.2,no,,0,false,,proposed,,
S023,design,Program will maintain 85% average daily attendance across all sites.,,"A2.5 Participation, Dosage & Reach (Output)",Y1.13 Attendance & School Stability,A2.5,A2.5,no,,0,false,,proposed,,
S024,design,Runaway youth will be reunified with family when it is safe to do so.,Y3.4 Family Relationships,Y3.4 Family Relationships,F2.3 Housing Stability & Safe Living Situation,Y3.4,F2.3,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
S025,design,"Children will demonstrate age-appropriate pre-literacy skills (letter recognition, phonemic awareness).",,Y1.8 Early Learning & School Readiness,Y1.1 Literacy: Reading & Writing,Y1.8,Y1.8,no,,0,false,,proposed,,
S026,design,Mentees will report having a trusted adult they can go to with problems.,,Y3.2 Supportive Adult Relationships,,Y3.2,Y3.2,no,,0,false,,proposed,,
S027,design,Students will choose to report bullying they witness rather than join in.,,Y4.11 Ethical & Prosocial Choices,"Y8.12 Violence, Bullying & Victimization",Y4.11,Y4.11,no,,0,false,,proposed,,
S028,design,Youth will improve their English language proficiency.,,Y1.2 English Language Development & Multilingualism,,Y1.2,Y1.2,no,,0,false,,proposed,,
S029,design,Youth aging out of foster care will secure stable housing by age 21.,,F2.3 Housing Stability & Safe Living Situation,,F2.3,F2.3,no,,0,false,,proposed,,
S030,design,Students will receive fewer office discipline referrals for disruptive classroom behavior.,Y1.14 Exclusionary Discipline,Y1.14 Exclusionary Discipline,"Y1.15 Grades, Credits & On-Track Status",Y1.14,Y1.15,yes,v2 and 2.x routes disagree; 2.x code 1.6 was split,0,false,,adjudicated,Severin,2026-09-26
S031,design,Players will improve their dribbling and passing skills.,Y8.2 Motor & Sport Skills,Y8.2 Motor & Sport Skills,Y1.5 Other Academic Subjects,Y8.2,Y1.5,yes,v2 and 2.x routes disagree; 2.x code 1.3 was split,0,false,,adjudicated,Severin,2026-09-26
S032,design,Students with IEPs will lead their own IEP meetings by the end of the school year.,"Y5.6 Agency, Self-Determination & Self-Advocacy","Y5.6 Agency, Self-Determination & Self-Advocacy","Y6.4 Civic Voice, Leadership & Participation",Y5.6,Y6.4,yes,v2 and 2.x routes disagree,0,false,,adjudicated,Severin,2026-09-26
