gold_id,origin_id,set,program_type,outcome_text,v1_coder_a,v1_coder_b,v1_gold,v1_alternates,v1_agreement,v1_forced_fit,v2_coder_a,v2_coder_b,v2_gold,v2_alternates,v2_agreement,v2_forced_fit,v2_outcome_type,expected_uncoded,codebook_issues,adjudication_note,review_priority,status,adjudicated_by,adjudicated_on
H036,heldout-generator,heldout,school-based mental health,Youth developed healthier coping strategies for managing stress.,3.2.2,3.2.2,3.2.2,7.2,agreed,0,Y3.3,Y3.3,Y3.3,Y11.1,agreed,0,skill,false,,,normal,proposed,,
H037,heldout-generator,heldout,substance-use prevention,Participants reported delaying the age of first alcohol use.,7.5,7.5,7.5,3.5.4,agreed,0,Y12.2,Y12.2,Y12.2,Y3.16,agreed,0,behavior,false,,,normal,proposed,,
H038,heldout-generator,heldout,substance-use prevention,Youth increased their knowledge of the health risks associated with vaping and e-cigarette use.,7.5,7.5,7.5,3.5.4,agreed,0,Y12.2,Y12.2,Y12.2,Y10.5,agreed,0,knowledge,false,,,normal,proposed,,
H039,heldout-generator,heldout,substance-use prevention,The program delivered prevention curricula to 500 students across 6 partner schools this year.,10.5,10.5,10.5,7.5,agreed,0,A2.2,A2.2,A2.2,,agreed,0,output,false,,,normal,proposed,,
H040,heldout-generator,heldout,violence prevention,Students demonstrated improved conflict de-escalation skills in post-training role-play assessments.,3.4.3,3.4.3,3.4.3,7.7,agreed,0,Y3.11,Y3.11,Y3.11,Y3.2,agreed,0,skill,false,,,normal,proposed,,
H041,heldout-generator,heldout,violence prevention,School staff reported a decrease in physical altercations following implementation of the restorative justice program.,7.7,7.7,7.7,11.6,agreed,0,Y12.3,Y12.3,Y12.3,Y8.4,agreed,0,behavior|status,false,,,normal,proposed,,
H042,heldout-generator,heldout,violence prevention,Youth feel safer walking to and from school.,5.1,5.1,5.1,7.7,agreed,0,Y12.1,Y12.1,Y12.1,Y2.1,agreed,0,attitude,false," || v2: Neighborhood/commute safety is general, not program-specific.",,normal,proposed,,
H043,heldout-generator,heldout,juvenile justice & reentry,70% of youth released from detention had no new adjudications within 12 months of release.,7.8,7.8,7.8,,agreed,0,Y12.4,Y12.4,Y12.4,,agreed,0,status,false,,,normal,proposed,,
H044,heldout-generator,heldout,juvenile justice & reentry,Participants secured stable housing and enrolled in school or employment within 30 days of release.,12.7 + 11.6,12.7 + 11.6 + 8.8,12.7,7.8,agreed,1,F2.3 + Y9.5,F2.3 + Y9.5,F2.3,Y12.4;Y8.5,agreed,1,status,false,12.7 scoped to families; youth's own housing has no youth-level code. School-or-work composite spans 11.6/8.8. || v2: Combined 'school or employment' metric; codebook has no rule to split further.,,high,proposed,,
H045,heldout-generator,heldout,juvenile justice & reentry,Youth improved their ability to set and work toward personal goals.,3.2.3,3.2.3,3.2.3,3.2.4,agreed,0,Y3.4,Y3.4,Y3.4,Y4.6,agreed,0,skill,false,,,normal,proposed,,
H046,heldout-generator,heldout,foster care & transition-age youth,"Youth aging out of care obtained a state-issued ID, Social Security card, and birth certificate before turning 18.",8.3,8.3,8.3,12.5,agreed,1,Y9.7,Y9.7,Y9.7,,agreed,0,status,false,Vital documents/independent-living milestones have no home. | No code covers foster youth obtaining vital/ID documents; forced into the closest transition-process code.,,high,proposed,,
H047,heldout-generator,heldout,foster care & transition-age youth,"Young people reported having at least one permanent, supportive adult connection.",2.2,2.2,2.2,3.4.5,agreed,0,Y2.2,Y2.2,Y2.2,Y2.5,agreed,0,status,false,,,normal,proposed,,
H048,heldout-generator,heldout,foster care & transition-age youth,"Participants increased their independent living skills, including cooking, budgeting, and using public transit.",8.3,3.2.4,3.2.4,8.3,contested,1,Y9.7,Y9.7,Y9.7,Y9.6,agreed,0,skill,false,"Independent living/life skills have no subcategory. | No code covers general independent-living/life skills (cooking, transit); forced placement.",Independent-living skills have no home in v1.,high,proposed,,
H049,heldout-generator,heldout,runaway & homeless youth,Youth exited the shelter into safe and stable housing.,12.7,12.7,12.7,11.5,agreed,1,F2.3,F2.3,F2.3,,agreed,0,status,false,12.7 defined for families; youth housing outcome has no youth code.,,high,proposed,,
H050,heldout-generator,heldout,runaway & homeless youth,Participants engaged in case management and reduced the number of nights spent unsheltered.,12.5 + 12.7,12.5 + 12.7,12.5,10.5,agreed,0,F2.3,F2.3,F2.3,Y11.4,agreed,0,status,false,Case management engagement could be means or output; 12.x scoped to families.,,normal,proposed,,
H051,heldout-generator,heldout,runaway & homeless youth,Youth reported an increased sense of safety and trust in program staff.,5.1 + 2.2,5.1 + 2.2,5.1,2.1,agreed,0,Y2.1 + Y2.2,Y2.1 + Y2.2,Y2.1,Y12.1,agreed,0,attitude,false, || v2: Unclear whether safety is program-specific (Y2.1) or general (Y12.1) for shelter youth.,,normal,proposed,,
H052,heldout-generator,heldout,teen parents,Teen mothers continued or re-enrolled in school within 6 weeks of giving birth.,11.6,11.6,11.6,11.5,agreed,0,Y8.2,Y8.2,Y8.2,Y8.5,agreed,0,status,false,,,normal,proposed,,
H053,heldout-generator,heldout,teen parents,"Parenting participants demonstrated improved knowledge of infant health and safety practices, including safe sleep.",12.1,12.1,12.1,7.6,agreed,0,F1.1,F1.1,F1.1,Y10.5,agreed,0,knowledge,false, || v2: Teen parents are both youth and caregivers.,,normal,proposed,,
H054,heldout-generator,heldout,teen parents,Young parents feel more confident in their parenting abilities and less isolated from peers.,12.1 + 12.3,12.1 + 12.3,12.1,12.2,agreed,1,F1.1 + F1.3,F1.1 + F1.3,F1.1,Y4.3,agreed,0,attitude,false,"Parenting self-efficacy not named; peer isolation for teen parents: 12.3 vs 2.3. | No code names caregiver parenting self-confidence specifically; 12.1 covers knowledge/practices not confidence. || v2: Teen parents are young people; 'stop at first match' puts them in Part Y, but parenting constructs exist only in F.",,high,proposed,,
H055,heldout-generator,heldout,LGBTQ+ youth services,Youth reported a decrease in feelings of isolation after joining the support group.,2.3,2.3,2.3,7.2,agreed,0,Y2.1,Y2.1,Y2.1,Y11.1,agreed,1,attitude,false,Isolation as relational state (2.3) vs distress symptom (7.2); no rule. || v2: Loneliness/isolation is not named in any definition; Y2.1 and Y11.1 both plausible. | Isolation could be read as a mental-health distress symptom (Y11.1) or belonging (Y2.1); no explicit rule.,,high,proposed,,
H056,heldout-generator,heldout,LGBTQ+ youth services,Participants identified at least one trusted adult they could turn to for support.,2.2,2.2,2.2,3.3.4,agreed,0,Y2.2,Y2.2,Y2.2,,agreed,0,status,false,,,normal,proposed,,
H057,heldout-generator,heldout,LGBTQ+ youth services,The program fostered a more welcoming and affirming environment for LGBTQ+ youth.,10.3,9.2,10.3,9.2;2.1,contested,1,A2.1,A2.1,A2.1,A2.4;Y2.1,agreed,0,status,false," || v2: Could be program quality or youth belonging; statement is about program environment, not individual youth report.",Program quality/climate has no home in v1.,high,proposed,,
H058,heldout-generator,heldout,disability inclusion,Youth with disabilities participated in inclusive recreational activities alongside peers without disabilities.,9.2,9.2,9.2,5.3,agreed,0,Y1.5,A2.4,Y1.5,A2.4,contested,0,behavior|status,false, || v2: Inclusion construct named only in A2.4 (program-level); youth-level inclusive participation has no Y code.,v2: rc1: youth taking part in inclusive activities → Y1.5.,high,proposed,,
H059,heldout-generator,heldout,disability inclusion,Parents of children with disabilities reported increased knowledge of their child's rights under IDEA.,12.1,12.1,12.1,6.1,agreed,1,F1.6,F1.6,F1.6,,agreed,0,knowledge,false,Caregiver rights/system-navigation knowledge has no Domain 12 home. | No code covers caregiver knowledge of legal/educational rights (IDEA); forced into general parenting knowledge.,,high,proposed,,
H060,heldout-generator,heldout,disability inclusion,Participants demonstrated improved self-advocacy skills during IEP meetings.,6.3,6.3,6.3,3.4.1;3.4.4,agreed,1,Y4.6,Y4.6,Y4.6,Y3.9,agreed,0,skill,false,Self-advocacy has no explicit code; 6.3 vs 3.4.4.,,high,proposed,,
H061,heldout-generator,heldout,immigrant & refugee services,Families increased their understanding of the U.S. school enrollment and healthcare systems.,6.1,6.1,6.1,12.5,agreed,1,F1.6,F1.6,F1.6,,agreed,0,knowledge,false,Caregiver system-navigation knowledge: 6.1 is youth civic; Domain 12 lacks it.,,high,proposed,,
H062,heldout-generator,heldout,immigrant & refugee services,Adult participants improved their English language proficiency by one CASAS level.,11.4,11.4,11.4,12.5,agreed,0,F1.5,F1.5,F1.5,Y7.7,agreed,1,skill,false,"11.4 framed for youth/ELs; adult learners are outside scope. || v2: Adult participants not clearly caregivers; Y7.7 is youth-only, no home for adult community learners. | Unclear if 'adult participants' are caregivers of youth or unrelated adults; codebook doesn't define this population.",,high,proposed,,
H063,heldout-generator,heldout,immigrant & refugee services,Youth reported feeling more connected to their new community.,2.1,2.1,2.1,5.1,agreed,1,Y2.1,Y2.1,Y2.1,Y2.5,agreed,0,attitude,false,"2.1 scoped to school/program; broader community connectedness has no home. | 2.1 is defined for school/program belonging; statement is about the broader community, which has no exact code.",,high,proposed,,
H064,heldout-generator,heldout,early childhood & home visiting,Children demonstrated age-appropriate developmental milestones on the Ages & Stages Questionnaire.,11.7,11.7,11.7,,agreed,0,Y7.8,Y7.8,Y7.8,Y10.2,agreed,1,status,false, || v2: ASQ covers motor/social/communication; no general early-development code.,,high,proposed,,
H065,heldout-generator,heldout,early childhood & home visiting,"Home visitors conducted monthly visits, and caregivers reported increased confidence supporting early literacy at home.",10.5 + 12.4,10.5 + 12.4,10.5,10.2,agreed,0,A2.2 + F1.4,A2.2 + F1.4,A2.2,F1.1,agreed,0,output,false, || v2: Second outcome: F1.1 (parenting self-efficacy) and F1.4 (home learning) both fit; no tie-breaker.,,normal,proposed,,
H066,heldout-generator,heldout,early childhood & home visiting,First-time mothers initiated and sustained breastfeeding for at least six months.,12.1,12.1,12.1,7.1,agreed,1,F1.1,F1.1,F1.7,F1.1,agreed-then-rc1-revised,0,behavior,false,Maternal/infant health behaviors have no explicit home. || v2: No code for maternal/infant health behaviors. | No breastfeeding/infant-feeding code exists; treated as a parenting/caregiving practice.,v2: rc1: new F1.7 Family Health Practices.,high,proposed,,
H067,heldout-generator,heldout,family support/two-generation,Families increased household income while parents completed occupational skills training.,12.5 + 8.6,12.5 + 8.6,12.5,8.8,agreed,1,F2.1 + F1.5,F2.1 + F1.5,F2.1,F1.5,agreed,0,status,false,"8.6 is youth-focused; parent training has no Domain 12 code. || v2: 'While' clause resembles the no-split means example, but caregiver training completion is itself an F1.5 result.",,high,proposed,,
H068,heldout-generator,heldout,family support/two-generation,Parents reported improved communication and reduced conflict with their children.,12.1,12.1,12.1,3.4.3,agreed,1,F1.1 + F1.1,Y2.4,F1.1,Y2.4,contested,0,behavior|status,false,"Parent-child relationship quality not named in Domain 12. | No dedicated code for parent-child relationship quality/communication; forced into parenting knowledge & practices. || v2: Reported by parents rather than youth, but construct is the youth-family relationship per codebook rule.",v2: rc1: the subject of the sentence (parents) decides.,high,proposed,,
H069,heldout-generator,heldout,family support/two-generation,Caregivers connected to at least two new community resources or public benefits.,12.5,12.5,12.5,12.3,agreed,0,F2.1,F1.6,F1.6,F2.1,contested,0,status|behavior,false, || v2: Resource/concrete-support connection has no clear home; splits between F1.6 (where to turn) and F2.1 (benefits). | Could also read as economic stability (F2.1); framed here as navigating to resources.,v2: rc1: connected to resources → F1.6.,high,proposed,,
H070,heldout-generator,heldout,food security,Households reported reduced food insecurity as measured by the USDA six-item screener.,12.6,12.6,12.6,,agreed,0,F2.2,F2.2,F2.2,,agreed,0,status,false,,,normal,proposed,,
H071,heldout-generator,heldout,food security,"The pantry distributed 50,000 pounds of food to 1,200 households this quarter.",10.5,10.5,10.5,12.6,agreed,0,A2.2,A2.2,A2.2,F2.2,agreed,0,output,false,10.5 defined for youth participation; non-youth service output fits imperfectly. || v2: Program counts never uncoded; route to A2.2.,,normal,proposed,,
H072,heldout-generator,heldout,food security,Families increased their weekly consumption of fresh fruits and vegetables.,12.6,12.6,12.6,7.1,agreed,0,F2.2,F2.2,F1.7,F2.2,agreed-then-rc1-revised,0,behavior,false," || v2: Household eating behavior has no F code; F2.2 covers access, Y10.3 is youth-only.",v2: rc1: household eating behavior → F1.7.,high,proposed,,
H073,heldout-generator,heldout,housing,Participants exited transitional housing into permanent housing and maintained it for at least six months.,12.7,12.7,12.7,12.5,agreed,0,F2.3,F2.3,F2.3,,agreed,0,status,false,,,normal,proposed,,
H074,heldout-generator,heldout,housing,Households reduced their rent burden to below 30% of income.,12.5,12.7,12.7,12.5,contested,0,F2.3,F2.3,F2.3,F2.1,agreed,0,status,false, || v2: Rent burden fits both housing stability (F2.3) and financial stability (F2.1); no tie-breaker. | Rent burden touches both housing stability and financial stability.,Housing cost burden: housing stability.,high,proposed,,
H075,heldout-generator,heldout,housing,Case managers helped clients complete and submit applications for housing choice vouchers.,12.7,12.5,12.7,12.5;10.5,contested,1,A2.2,F2.3,A2.2,F2.3,contested,0,output|behavior,false,"Staff service-activity statement; outcome vs output unclear. || v2: Staff-delivered service activity (not a count) has no clear home; A2.2, F1.6, F2.3 all partial. | Describes a staff-assisted process step rather than an achieved result; nearest home is F2.3.",A staff process step; no services-delivered code in v1. v2: rc1: services delivered → A2.2.,high,proposed,,
H076,heldout-generator,heldout,digital equity,Households received a laptop and broadband subsidy and reported increased ability to complete tasks online.,9.1 + 11.3,9.1 + 9.1,9.1,12.5,agreed,1,A2.3 + F1.5,A2.3 + F1.5,A2.3,F2.1,agreed,0,output,false,Digital literacy/skills have no subcategory. | No code for general digital-skill/capability gain; only resource access and digital citizenship/safety exist. || v2: Household technology receipt: who-changed rule points to Part F but only A2.3 names it. | Digital literacy for a whole household with no named caregiver; F1.5 is the nearest home.,,high,proposed,,
H077,heldout-generator,heldout,digital equity,"Participants improved their digital literacy skills, including email and video conferencing.",11.3,6.5,11.3,6.5,contested,1,F1.5,Y7.4,F1.5,Y7.4,contested,0,skill,false,Digital literacy has no subcategory. | No code covers general digital-literacy skill acquisition; only online safety/citizenship and resource access are named. || v2: Participant population unspecified; no youth digital literacy code (Y7.4 is computing). | No dedicated digital-literacy code for general participants (F1.5 is caregiver-specific); used nearest tech-skill code.,"General digital literacy has no home in v1. v2: Adult participants assumed (digital equity program); population unspecified, so human review needed.",high,proposed,,
H078,heldout-generator,heldout,digital equity,Older adults reported feeling less anxious using technology.,7.2,7.2,7.2,12.2,agreed,0,F1.5,F1.5,F1.5,Y11.1,agreed,1,attitude,false,"Older-adult population and tech anxiety are outside codebook scope. | Statement is about older adults, not youth; this codebook is youth-scoped so population doesn't clearly fit. || v2: No section for non-caregiver community adults (older adults); who-changed rule has no match. | No code covers general adult participants who are not caregivers or staff; digital equity + confidence weakly maps to F1.5.",,high,proposed,,
H079,heldout-generator,heldout,faith-based youth ministry,Youth grew in their faith and felt a stronger connection to their spiritual community.,5.2 + 2.1,5.4 + 2.1,5.4,5.2,contested,0,Y4.5 + Y2.1,Y4.5 + Y2.1,Y4.5,Y2.5;Y5.1,agreed,0,attitude,false,"Faith growth: 5.2 vs 5.4 both listed as routes, no rule. || v2: Faith growth could go to Y4.5 (spiritual purpose) or Y5.1 (faith-grounded values); no rule decides.",Faith growth routed to identity/purpose; plus 2.1.,high,proposed,,
H080,heldout-generator,heldout,faith-based youth ministry,Participants attended weekly youth group and volunteered at least once in the community this semester.,10.5 + 6.2,10.5 + 6.2,10.5,5.3,agreed,0,Y1.5 + Y5.4,A2.2 + Y5.4,Y1.5,A2.2;Y5.4,contested,0,behavior|output,false,,v2: Split: attendance (Y1.5) + volunteering (Y5.4).,high,proposed,,
H081,heldout-generator,heldout,faith-based youth ministry,Teens reported increased trust in adult mentors within the congregation.,2.2,2.2,2.2,2.1,agreed,0,Y2.2,Y2.2,Y2.2,Y2.5,agreed,0,attitude|status,false,,,normal,proposed,,
H082,heldout-generator,heldout,camps/4-H/scouting,"Campers demonstrated improved swimming proficiency, advancing at least one skill level.",7.1,11.3,7.1,11.3,contested,1,Y10.2,Y10.2,Y10.2,,agreed,0,skill,false,Physical skill acquisition not in 7.1 definition. | No code explicitly covers physical/sports skill proficiency growth; closest is general demonstrated learning.,Sport/swim skill has no home in v1.,high,proposed,,
