gold_id,set,outcome_text,v3_gold,v3_suggested,v3_alternates,coder_a,coder_b,needs_review,review_reason,codebook_gap,expected_uncoded,adjudication_note,status,adjudicated_by,adjudicated_on
N013,heldout3,Increased engagement in sessions and completion of self-reflection exercises.,Y2.6 Participation in Enriching Activities,Y2.6 Participation in Enriching Activities,,Y2.6 | Y5.1,Y2.6 | Y1.9,yes,The coders agree on the main code but split the statement differently; one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N014,heldout3,Classrooms are enriched by the introduction of professional levelart materials and equipment.,A2.3 Access to Resources,A2.3 Access to Resources,,A2.3,A2.3,no,,0,false,,adjudicated,Severin,2026-09-26
N015,heldout3,Improved Essential Academic Skills (logical thinking; public speaking; vocabulary; etc.),"Y1.7 Critical Thinking, Inquiry & Media Literacy","Y1.7 Critical Thinking, Inquiry & Media Literacy",Y4.6 Communication & Public Speaking | Y1.1 Literacy: Reading & Writing,Y1.7 | Y4.6 | Y1.1,Y1.7 | Y4.6 | Y1.1,no,,0,false,,adjudicated,Severin,2026-09-26
N016,heldout3,Increased awareness of Bahia’s traditions,Y1.5 Other Academic Subjects,Y1.5 Other Academic Subjects,,Y1.5,Y1.5,no,,0,false,,adjudicated,Severin,2026-09-26
N017,heldout3,Participants contribute positively to their communities as future leaders,"Y6.4 Civic Voice, Leadership & Participation",,,Y6.5,Y6.4,yes,The two coders chose different main codes; one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N018,heldout3,Students graduate college in 6 years.,"Y1.18 Postsecondary Enrollment, Persistence & Completion","Y1.18 Postsecondary Enrollment, Persistence & Completion",,Y1.18,Y1.18,no,,0,false,,adjudicated,Severin,2026-09-26
N019,heldout3,Increased Engagement in Learning: Students show increased enthusiasm and active participation in academic and enrichment activities.,Y2.1 Enjoyment & Joy,Y2.1 Enjoyment & Joy,Y1.9 Academic Engagement Behaviors,Y2.1 | Y1.9,Y2.1 | Y1.9,no,,0,false,,adjudicated,Severin,2026-09-26
N020,heldout3,"Student caregivers and school leadership are enthusiastic at all performances. Audiences appreciate ballet, dance, and music informed by what they have experienced through RR classes and live performances",A2.2 Participant & Family Satisfaction,A2.2 Participant & Family Satisfaction,,A2.2 | Y2.5,A2.2,yes,The coders agree on the main code but split the statement differently; one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N021,heldout3,Increase in awareness of the risks associated with negative influences,Y4.12 Risk Avoidance & Refusal Skills,,,Y4.12,Y8.11,yes,The two coders chose different main codes,0,false,,adjudicated,Severin,2026-09-26
N022,heldout3,Increased understand of the iterative design process by giving the opportunity to integrate and apply knowledge to solve problems to complete science based art projects,"Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering",,Y1.4,Y1.4,no,,0,false,,adjudicated,Severin,2026-09-26
N023,heldout3,95% of participants will report a sense of belonging to the community.,Y3.1 Belonging & Mattering,Y3.1 Belonging & Mattering,,Y3.1,Y3.1,no,,0,false,,adjudicated,Severin,2026-09-26
N024,heldout3,Students become lifelong learners and active/informed citizens.,Y2.3 Sustained & Individual Interest,Y2.3 Sustained & Individual Interest,"Y6.4 Civic Voice, Leadership & Participation",Y2.3 | Y6.4,Y2.3 | Y6.4,no,,0,false,,adjudicated,Severin,2026-09-26
N025,heldout3,Learn that movement is used to express ideas and emotions and that the art of dance is a way of communicating and emoting,Y1.6 Arts Learning,Y1.6 Arts Learning,,Y1.6,Y1.6,no,,0,false,,adjudicated,Severin,2026-09-26
N026,heldout3,"Improved dietary habits and health outcomes including reduced obesity, heart disease, and diabetes",Y8.1 Healthy Daily Habits,Y8.1 Healthy Daily Habits,,Y8.1 | Y8.5,Y8.1,yes,The coders agree on the main code but split the statement differently,0,false,,adjudicated,Severin,2026-09-26
N027,heldout3,"AISP participants and their families, will become audiences for the arts, recognizing that they are welcome in those spaces ..",Y3.1 Belonging & Mattering,,,Y2.6 | Y3.1,Y3.1,yes,The two coders chose different main codes,0,false,,adjudicated,Severin,2026-09-26
N028,heldout3,Increase attention to supporting mentoring programs that focus on shared goals and achievement.,none,,,A3.1,none,yes,The two coders chose different main codes; one coder would leave it uncoded; one coder had low confidence,0,true,,adjudicated,Severin,2026-09-26
N029,heldout3,Different perception about their identity as an artist/creative person,Y5.3 Domain Identity,Y5.3 Domain Identity,,Y5.3,Y5.3,no,,0,false,,adjudicated,Severin,2026-09-26
N030,heldout3,"Increased awareness of oneself, including strengths and weaknesses",Y5.1 Self-Understanding & Identity Exploration,Y5.1 Self-Understanding & Identity Exploration,,Y5.1,Y5.1,no,,0,false,,adjudicated,Severin,2026-09-26
N031,heldout3,Health Knowledge & Behaviors — Key facts about health topics covered,Y8.3 Health Knowledge & Safety Skills,Y8.3 Health Knowledge & Safety Skills,,Y8.3,Y8.3,no,,0,false,,adjudicated,Severin,2026-09-26
N032,heldout3,Number of professional Black and Latinx designers increases,none,Y7.5 Employment & Earnings,,Y7.5,Y7.5,yes,one coder had low confidence,1,true,Severin: This is more of a longitudinal change that the program is likely not actually measuring as an outcome.,adjudicated,Severin,2026-09-26
N033,heldout3,Understand what the museum can offer them in their education and life,none,,,Y2.4,none,yes,The two coders chose different main codes; one coder would leave it uncoded; one coder had low confidence,0,true,,adjudicated,Severin,2026-09-26
N034,heldout3,Young people will be engaged year-round,"A2.5 Participation, Dosage & Reach (Output)",Y2.6 Participation in Enriching Activities,,Y2.6,Y2.6,yes,one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N035,heldout3,Student's increased confidence in their voice,"Y5.4 Confidence, Self-Efficacy & Self-Worth","Y5.4 Confidence, Self-Efficacy & Self-Worth",,Y5.4,Y5.4,no,,0,false,,adjudicated,Severin,2026-09-26
N036,heldout3,"Trauma-informed practices are institutionalized, resulting in a safe, supportive, and responsive learning environment year to year",A1.2 Practice Change,A1.2 Practice Change,,A1.2 | A2.1,A1.2,yes,The coders agree on the main code but split the statement differently,0,false,,adjudicated,Severin,2026-09-26
N037,heldout3,"Short-term: Students build foundational artistic techniques, significantly improve their visual literacy skills, and gain broad exposure to Latin American and Caribbean cultural history.",Y1.6 Arts Learning,Y1.6 Arts Learning,Y1.5 Other Academic Subjects,Y1.6 | Y1.6 | Y1.5,Y1.6 | Y1.6 | Y1.5,no,,0,false,,adjudicated,Severin,2026-09-26
N038,heldout3,Parents demonstrate stronger communication skills and supportive parenting,F1.1 Parenting Knowledge & Practices,F1.1 Parenting Knowledge & Practices,,F1.1,F1.1,no,,0,false,,adjudicated,Severin,2026-09-26
N039,heldout3,Increased After-School Participation: More students participate in high-quality after-school and enrichment programs.,"A2.5 Participation, Dosage & Reach (Output)","A2.5 Participation, Dosage & Reach (Output)",,A2.5,A2.5,no,,0,false,,adjudicated,Severin,2026-09-26
N040,heldout3,Soft Skills — Positive behaviors,none,none,,none,none,yes,one coder would leave it uncoded; one coder had low confidence,0,true,Severin: Not specific enough of an outcome to code.,adjudicated,Severin,2026-09-26
N041,heldout3,Increased connection with community partners,A3.2 Cross-Sector Partnerships,A3.2 Cross-Sector Partnerships,,A3.2,A3.2,no,,0,false,,adjudicated,Severin,2026-09-26
N042,heldout3,"Stronger partnerships between schools, families, and community organizations",A3.2 Cross-Sector Partnerships,A3.2 Cross-Sector Partnerships,,A3.2,A3.2,no,,0,false,,adjudicated,Severin,2026-09-26
N043,heldout3,Young people will have a deeper appreciation for their community and for nature,Y6.6 Environmental Stewardship,Y3.1 Belonging & Mattering,,Y3.1 | Y6.6,Y3.1 | Y6.6,yes,one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N044,heldout3,Increased confidence and self-esteem,"Y5.4 Confidence, Self-Efficacy & Self-Worth","Y5.4 Confidence, Self-Efficacy & Self-Worth",,Y5.4,Y5.4,no,,0,false,,adjudicated,Severin,2026-09-26
N045,heldout3,Students finish 8th grade on track for high school graduation,"Y1.15 Grades, Credits & On-Track Status","Y1.15 Grades, Credits & On-Track Status",,Y1.15,Y1.15,no,,0,false,,adjudicated,Severin,2026-09-26
N046,heldout3,Students have mapped out what their ideal career is.,Y7.1 Career Awareness & Exploration,Y7.1 Career Awareness & Exploration,,Y7.1,Y7.1,no,,0,false,,adjudicated,Severin,2026-09-26
N047,heldout3,Increased fresh food access for school and neighborhood,F2.2 Food Security,F2.2 Food Security,,F2.2,F2.2,no,,0,false,,adjudicated,Severin,2026-09-26
N048,heldout3,Participate in theatre activities when appropriate,Y2.6 Participation in Enriching Activities,Y2.6 Participation in Enriching Activities,,Y2.6,Y2.6,no,,0,false,,adjudicated,Severin,2026-09-26
N049,heldout3,"Students are empathetic, socially aware critical thinkers with curiosity and respect for others’ experiences","Y4.4 Empathy, Perspective-Taking & Social Awareness","Y4.4 Empathy, Perspective-Taking & Social Awareness","Y1.7 Critical Thinking, Inquiry & Media Literacy | Y2.2 Curiosity & Triggered Interest | Y4.5 Respect for Diversity & Cultural Competence",Y4.4 | Y1.7 | Y2.2 | Y4.5,Y4.4 | Y1.7 | Y2.2 | Y4.5,no,,0,false,,adjudicated,Severin,2026-09-26
N050,heldout3,Obtains Associate Credits,Y1.16 Advanced Coursework & Dual Credit,Y1.16 Advanced Coursework & Dual Credit,,Y1.16,Y1.16,no,,0,false,,adjudicated,Severin,2026-09-26
N051,heldout3,"Professional habits (punctuality, reliability)",Y7.3 Employability & Workplace Skills,Y7.3 Employability & Workplace Skills,,Y7.3,Y7.3,no,,0,false,,adjudicated,Severin,2026-09-26
N052,heldout3,Takes charge of health regarding — sexual behavior,Y8.4 Sexual & Reproductive Health,Y8.4 Sexual & Reproductive Health,,Y8.4,Y8.4,no,,0,false,,adjudicated,Severin,2026-09-26
N053,heldout3,Girls develop positive values.,Y6.1 Positive Values & Character,Y6.1 Positive Values & Character,,Y6.1,Y6.1,no,,0,false,,adjudicated,Severin,2026-09-26
N054,heldout3,Graduate high school on time.,Y1.17 High School Completion & Re-engagement,Y1.17 High School Completion & Re-engagement,,Y1.17,Y1.17,no,,0,false,,adjudicated,Severin,2026-09-26
N055,heldout3,Increased ability to practice and use a variety of life skills,Y7.7 Independent Living Skills,Y7.7 Independent Living Skills,,Y7.7,Y7.7,no,,0,false,,adjudicated,Severin,2026-09-26
N056,heldout3,Increased student agency and belief in their power to influence their own future,"Y5.6 Agency, Self-Determination & Self-Advocacy","Y5.6 Agency, Self-Determination & Self-Advocacy",,Y5.6,Y5.6,no,,0,false,,adjudicated,Severin,2026-09-26
N057,heldout3,Improved educational aspirations,Y5.5 Purpose & Future Orientation,Y5.5 Purpose & Future Orientation,,Y5.5,Y5.5,no,,0,false,,adjudicated,Severin,2026-09-26
N058,heldout3,Academic Skills — Public speaking,Y4.6 Communication & Public Speaking,Y4.6 Communication & Public Speaking,,Y4.6,Y4.6,no,,0,false,,adjudicated,Severin,2026-09-26
N059,heldout3,Students demonstrate help-seeking and helping behaviors; build healthy relationships with peers and adults,Y4.9 Help-Seeking & Offering Support,Y4.9 Help-Seeking & Offering Support,,Y4.9 | Y4.8,Y4.9 | Y3.3 | Y3.2,yes,The coders agree on the main code but split the statement differently,0,false,,adjudicated,Severin,2026-09-26
N060,heldout3,Increased quality of student-to-student relationships,Y3.3 Peer Relationships & Friendship,Y3.3 Peer Relationships & Friendship,,Y3.3,Y3.3,no,,0,false,,adjudicated,Severin,2026-09-26
N061,heldout3,Students improve their general self-efficacy,"Y5.4 Confidence, Self-Efficacy & Self-Worth","Y5.4 Confidence, Self-Efficacy & Self-Worth",,Y5.4,Y5.4,no,,0,false,,adjudicated,Severin,2026-09-26
N062,heldout3,"Increased knowledge of career, college and financial pathways",Y7.1 Career Awareness & Exploration,Y7.1 Career Awareness & Exploration,Y7.2 College & Career Transition Knowledge,Y7.1 | Y7.2,Y7.1 | Y7.2 | Y7.6,yes,The coders agree on the main code but split the statement differently,0,false,,adjudicated,Severin,2026-09-26
N063,heldout3,At least 150 low-income high school seniors will complete at least one college application and indicate that college attendance is their primary post-secondary goal. (ED10),Y7.2 College & Career Transition Knowledge,Y7.2 College & Career Transition Knowledge,,Y7.2 | Y5.5,Y7.2 | Y7.1,yes,The coders agree on the main code but split the statement differently,0,false,,adjudicated,Severin,2026-09-26
N064,heldout3,Students acquire skills and strategies,none,none,,none,none,yes,one coder would leave it uncoded; one coder had low confidence,0,true,Severin: Outcome is not specific enough to code,adjudicated,Severin,2026-09-26
N065,heldout3,"Curiosity, problem-solving",Y2.2 Curiosity & Triggered Interest,Y2.2 Curiosity & Triggered Interest,Y4.10 Decision-Making & Problem-Solving,Y2.2 | Y4.10,Y2.2 | Y4.10,no,,0,false,,adjudicated,Severin,2026-09-26
N066,heldout3,Increased student confidence and self-expression,"Y5.4 Confidence, Self-Efficacy & Self-Worth","Y5.4 Confidence, Self-Efficacy & Self-Worth",Y2.5 Creative Expression & Performance,Y5.4 | Y2.5,Y5.4 | Y2.5,no,,0,false,,adjudicated,Severin,2026-09-26
N067,heldout3,Increased perseverance when facing challenges,"Y4.3 Goal-Setting, Organization & Self-Discipline","Y4.3 Goal-Setting, Organization & Self-Discipline",,Y4.3,Y4.3,no,,0,false,,adjudicated,Severin,2026-09-26
N068,heldout3,Increased knowledge of positive coping and decision-making strategies,Y4.2 Emotion Regulation & Coping,Y4.2 Emotion Regulation & Coping,Y4.10 Decision-Making & Problem-Solving,Y4.2 | Y4.10,Y4.2 | Y4.10,no,,0,false,,adjudicated,Severin,2026-09-26
N069,heldout3,"Respecting differences, showing respectful disagreement, demonstrating how the past has shaped the present; opinions different from my own",Y4.5 Respect for Diversity & Cultural Competence,Y4.5 Respect for Diversity & Cultural Competence,Y4.8 Relationship-Building & Conflict Resolution | Y1.5 Other Academic Subjects,Y4.5 | Y4.8 | Y1.5,Y4.5 | Y4.8 | Y1.5,no,,0,false,,adjudicated,Severin,2026-09-26
N070,heldout3,Increase in school attendance,Y1.13 Attendance & School Stability,Y1.13 Attendance & School Stability,,Y1.13,Y1.13,no,,0,false,,adjudicated,Severin,2026-09-26
N071,heldout3,Increase student confidence in writing and sharing their work (strengthening their voices).,Y1.12 Academic Mindsets & Self-Efficacy,Y1.12 Academic Mindsets & Self-Efficacy,,Y1.12,Y1.12,no,,0,false,,adjudicated,Severin,2026-09-26
N072,heldout3,Students demonstrate positive academic mindset,Y1.12 Academic Mindsets & Self-Efficacy,Y1.12 Academic Mindsets & Self-Efficacy,,Y1.12,Y1.12,no,,0,false,,adjudicated,Severin,2026-09-26
N073,heldout3,"Provide meaningful community-based volunteer opportunies for adults (H,D,C,A)","A2.5 Participation, Dosage & Reach (Output)",,,A2.5,A2.4,yes,The two coders chose different main codes; one coder had low confidence,1,false,Severin: Difficult to code correctly.,adjudicated,Severin,2026-09-26
N074,heldout3,Students gain skills and confidence as choreographers,Y1.6 Arts Learning,Y1.6 Arts Learning,,Y1.6 | Y5.4,Y1.6 | Y5.3,yes,The coders agree on the main code but split the statement differently,0,false,,adjudicated,Severin,2026-09-26
N075,heldout3,Teachers will feel confident in their ability to incorporate the gardens into STEM lessons,A1.1 Staff & Volunteer Knowledge & Skills,A1.1 Staff & Volunteer Knowledge & Skills,,A1.1,A1.1,no,,0,false,,adjudicated,Severin,2026-09-26
N076,heldout3,Generates return visits to HG sites,Y2.6 Participation in Enriching Activities,,,A2.5,Y2.6,yes,The two coders chose different main codes,0,false,,adjudicated,Severin,2026-09-26
N077,heldout3,Develop creative problem-solving skills,Y4.10 Decision-Making & Problem-Solving,Y4.10 Decision-Making & Problem-Solving,,Y4.10,Y4.10,no,,0,false,,adjudicated,Severin,2026-09-26
N078,heldout3,Behavioral Competency Improvement,Y4.2 Emotion Regulation & Coping,none,,none,none,yes,one coder would leave it uncoded; one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N079,heldout3,All libraries will be fully staffed with a trained library coordinator 4-5 days a week,A1.3 Workforce Stability & Well-Being,,,A1.3,A2.5,yes,The two coders chose different main codes,0,false,,adjudicated,Severin,2026-09-26
N080,heldout3,Enhanced creative expression in Afro-Brazilian arts,Y2.5 Creative Expression & Performance,Y2.5 Creative Expression & Performance,,Y2.5,Y2.5,no,,0,false,,adjudicated,Severin,2026-09-26
N081,heldout3,demonstrate a willingness to experiment with art materials,Y2.2 Curiosity & Triggered Interest,Y2.2 Curiosity & Triggered Interest,,Y2.2,Y2.2,no,,0,false,,adjudicated,Severin,2026-09-26
N082,heldout3,Socially empowered communities with a strong sense of identity,A3.3 Community Conditions & Collective Efficacy,A3.3 Community Conditions & Collective Efficacy,,A3.3,A3.3,yes,one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N083,heldout3,Increased HS retention & graduation - 85%,Y1.13 Attendance & School Stability,Y1.13 Attendance & School Stability,Y1.17 High School Completion & Re-engagement,Y1.13 | Y1.17,Y1.13 | Y1.17,no,,0,false,,adjudicated,Severin,2026-09-26
N084,heldout3,Improved homework completion,Y1.9 Academic Engagement Behaviors,Y1.9 Academic Engagement Behaviors,,Y1.9,Y1.9,no,,0,false,,adjudicated,Severin,2026-09-26
N085,heldout3,Increased awareness of emotions and how they present themselves,Y4.1 Emotion Awareness,Y4.1 Emotion Awareness,,Y4.1,Y4.1,no,,0,false,,adjudicated,Severin,2026-09-26
N086,heldout3,Stronger connections with mentors and professional networks,Y3.2 Supportive Adult Relationships,Y3.2 Supportive Adult Relationships,Y3.5 Social Capital & Networks,Y3.2 | Y3.5,Y3.2 | Y3.5,no,,0,false,,adjudicated,Severin,2026-09-26
N087,heldout3,Stronger community involvement and civic engagement,"Y6.4 Civic Voice, Leadership & Participation",,,Y6.5 | Y6.4,Y6.4,yes,The two coders chose different main codes,0,false,,adjudicated,Severin,2026-09-26
N088,heldout3,Girls develop healthy relationships.,Y3.3 Peer Relationships & Friendship,,,Y4.8,Y3.3,yes,The two coders chose different main codes; one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N089,heldout3,A network and resources that connects partners within SDP and the city.,A3.2 Cross-Sector Partnerships,A3.2 Cross-Sector Partnerships,,A3.2,A3.2,no,,0,false,,adjudicated,Severin,2026-09-26
N090,heldout3,Weekly synthetic phonics instruction,Y1.1 Literacy: Reading & Writing,,,A2.5,none,yes,The two coders chose different main codes; one coder would leave it uncoded; one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N091,heldout3,Schools adopt sustainable composting and greening programs,Y6.6 Environmental Stewardship,,,A3.1,A1.2,yes,The two coders chose different main codes,0,false,,adjudicated,Severin,2026-09-26
N092,heldout3,Students develop a sense of belonging in museums,Y3.1 Belonging & Mattering,Y3.1 Belonging & Mattering,,Y3.1,Y3.1,no,,0,false,,adjudicated,Severin,2026-09-26
N093,heldout3,Students demonstrate a growth mindset and SEL goals,"Y5.4 Confidence, Self-Efficacy & Self-Worth","Y5.4 Confidence, Self-Efficacy & Self-Worth","Y4.3 Goal-Setting, Organization & Self-Discipline",Y5.4 | Y4.3,Y5.4 | Y4.3,yes,one coder had low confidence,0,false,"Severin: The outcome is a bit too vague, but Y5.4 seems like the most appropriate code",adjudicated,Severin,2026-09-26
N094,heldout3,Students/families better understand the employment security of having a college degree,Y2.4 Relevance & Utility Value,Y2.4 Relevance & Utility Value,,Y2.4,Y2.4,no,,0,false,,adjudicated,Severin,2026-09-26
N095,heldout3,"Students gain skills in leadership, literacy, and creative thinking, expand their perspectives of history, experience Black pride, and engage in creative practices that bring joy and increased focus","Y4.7 Teamwork, Collaboration & Group Leadership","Y4.7 Teamwork, Collaboration & Group Leadership",Y1.1 Literacy: Reading & Writing | Y1.5 Other Academic Subjects | Y5.2 Cultural & Social Identity | Y2.1 Enjoyment & Joy,Y4.7 | Y1.1 | Y2.5 | Y1.5 | Y5.2 | Y2.5 | Y2.1 | Y4.3,Y4.7 | Y1.1 | Y4.10 | Y1.5 | Y5.2 | Y2.1,yes,The coders agree on the main code but split the statement differently; one coder had low confidence,0,false,Severin: The coder should split this out into several discrete outcomes and then code those separately.,adjudicated,Severin,2026-09-26
N096,heldout3,Student knowledge of theater etiquette and dance education,Y1.6 Arts Learning,Y1.6 Arts Learning,,Y1.6,Y1.6,no,,0,false,,adjudicated,Severin,2026-09-26
N097,heldout3,Young people with disabilities use self-advocacy and leadership skills to drive their own life outcomes and fully engage as valued members of their communities.,"Y5.6 Agency, Self-Determination & Self-Advocacy","Y5.6 Agency, Self-Determination & Self-Advocacy",Y3.1 Belonging & Mattering,Y5.6 | Y3.1,Y5.6 | Y3.1,no,,0,false,,adjudicated,Severin,2026-09-26
N098,heldout3,Skills in Enginerring & Data,"Y1.4 Science, Technology & Engineering","Y1.4 Science, Technology & Engineering",,Y1.4,Y1.4,no,,0,false,,adjudicated,Severin,2026-09-26
N099,heldout3,Students initiate more leadership action.,"Y4.7 Teamwork, Collaboration & Group Leadership",,,Y4.7,Y6.4,yes,The two coders chose different main codes; one coder had low confidence,0,false,,adjudicated,Severin,2026-09-26
N100,heldout3,Participate in other STEM programs,Y2.6 Participation in Enriching Activities,,,Y2.6,Y2.3,yes,The two coders chose different main codes,0,false,,adjudicated,Severin,2026-09-26
