kind,old_code,new_code,old_label,new_label
subcategory,3.1.2,4.1.2,3.1.2 Understanding self & identity,4.1.2 Understanding self & identity
subcategory,3.1.3,4.1.3,3.1.3 Recognizing strengths,4.1.3 Recognizing strengths
subcategory,3.1.4,4.1.4,"3.1.4 Confidence, self-efficacy & growth mindset","4.1.4 Confidence, self-efficacy & growth mindset"
subcategory,3.2.1,4.2.1,3.2.1 Emotion regulation & impulse control,4.2.1 Emotion regulation & impulse control
subcategory,3.2.2,4.2.2,3.2.2 Stress management & coping skills,4.2.2 Stress management & coping skills
subcategory,3.2.3,4.2.3,3.2.3 Goal-setting & follow-through,4.2.3 Goal-setting & follow-through
subcategory,3.2.4,4.2.4,"3.2.4 Organization, persistence & self-discipline","4.2.4 Organization, persistence & self-discipline"
subcategory,3.3.1,4.3.1,3.3.1 Empathy & perspective-taking,4.3.1 Empathy & perspective-taking
subcategory,3.3.2,4.3.2,3.3.2 Respect for diversity & inclusion,4.3.2 Respect for diversity & inclusion
subcategory,3.3.3,4.3.3,3.3.3 Understanding norms & expectations,4.3.3 Understanding norms & expectations
subcategory,3.3.4,4.3.4,3.3.4 Awareness of supports and resources,4.3.4 Awareness of supports and resources
subcategory,3.4.1,4.4.1,3.4.1 Communication & active listening,4.4.1 Communication & active listening
subcategory,3.4.2,4.4.2,"3.4.2 Cooperation, teamwork & collaboration","4.4.2 Cooperation, teamwork & collaboration"
subcategory,3.4.3,4.4.3,3.4.3 Conflict management & problem-solving in relationships,4.4.3 Conflict management & problem-solving in relationships
subcategory,3.4.4,4.4.4,3.4.4 Help-seeking & providing support,4.4.4 Help-seeking & providing support
subcategory,3.4.5,4.4.5,3.4.5 Building and sustaining positive relationships,4.4.5 Building and sustaining positive relationships
subcategory,3.5.1,4.5.1,3.5.1 Evaluating options & consequences,4.5.1 Evaluating options & consequences
subcategory,3.5.2,4.5.2,3.5.2 Ethical and prosocial choices,4.5.2 Ethical and prosocial choices
subcategory,3.5.3,4.5.3,3.5.3 Personal and social problem-solving,4.5.3 Personal and social problem-solving
subcategory,3.5.4,4.5.4,3.5.4 Safety-oriented decisions & risk avoidance,4.5.4 Safety-oriented decisions & risk avoidance
subcategory,3.5.5,4.5.5,3.5.5 Contributions to class/program/community wellbeing,4.5.5 Contributions to class/program/community wellbeing
subcategory,4.1,5.1,4.1 Academic Behaviors (Engagement),5.1 Academic Behaviors (Engagement)
subcategory,4.2,5.2,4.2 Academic Perseverance (Grit/Tenacity),5.2 Academic Perseverance (Grit/Tenacity)
subcategory,4.3,5.3,4.3 Learning Strategies (Study Skills),5.3 Learning Strategies (Study Skills)
subcategory,4.4,5.4,4.4 Academic Confidence (Self-Efficacy),5.4 Academic Confidence (Self-Efficacy)
subcategory,5.1,6.1,5.1 Empowerment & Safety,6.1 Empowerment & Safety
subcategory,5.2,6.2,5.2 Positive Values,6.2 Positive Values
subcategory,5.3,6.3,5.3 Constructive Use of Time,6.3 Constructive Use of Time
subcategory,5.4,6.4,5.4 Positive Identity,6.4 Positive Identity
subcategory,6.1,7.1,6.1 Civic Skills & Knowledge,7.1 Civic Skills & Knowledge
subcategory,6.2,7.2,6.2 Community Service & Action,7.2 Community Service & Action
subcategory,6.3,7.3,6.3 Youth Voice & Leadership,7.3 Youth Voice & Leadership
subcategory,6.4,7.4,6.4 Criticality & Social Justice,7.4 Criticality & Social Justice
subcategory,6.5,7.5,6.5 Digital Citizenship & Safety,7.5 Digital Citizenship & Safety
subcategory,7.1,8.1,7.1 Physical Activity & Nutrition,8.1 Physical Activity & Nutrition
subcategory,7.2,8.2,7.2 Mental Health Status (Symptom Reduction),8.2 Mental Health Status (Symptom Reduction)
subcategory,7.3,8.3,7.3 Healing & Trauma Recovery,8.3 Healing & Trauma Recovery
subcategory,7.4,8.4,7.4 Access to Mental Health Services,8.4 Access to Mental Health Services
subcategory,7.5,8.5,7.5 Substance Use Prevention & Reduction,8.5 Substance Use Prevention & Reduction
subcategory,7.6,8.6,7.6 Sexual & Reproductive Health Behaviors,8.6 Sexual & Reproductive Health Behaviors
subcategory,7.7,8.7,"7.7 Violence, Bullying & Injury Prevention","8.7 Violence, Bullying & Injury Prevention"
subcategory,7.8,8.8,"7.8 Justice Involvement, Diversion & Reentry","8.8 Justice Involvement, Diversion & Reentry"
subcategory,8.1,9.1,8.1 Key Content Knowledge,9.1 Key Content Knowledge
subcategory,8.2,9.2,8.2 Key Cognitive Strategies,9.2 Key Cognitive Strategies
subcategory,8.3,9.3,8.3 Transition Knowledge & Skills,9.3 Transition Knowledge & Skills
subcategory,8.4,9.4,8.4 Career Awareness & Exploration,9.4 Career Awareness & Exploration
subcategory,8.5,9.5,8.5 Employability Skills,9.5 Employability Skills
subcategory,8.6,9.6,8.6 Technical Skills & Work-Based Learning,9.6 Technical Skills & Work-Based Learning
subcategory,8.7,9.7,"8.7 Postsecondary Enrollment, Persistence & Completion","9.7 Postsecondary Enrollment, Persistence & Completion"
subcategory,8.8,9.8,"8.8 Employment Placement, Retention & Earnings","9.8 Employment Placement, Retention & Earnings"
subcategory,9.1,10.1,9.1 Access to Resources,10.1 Access to Resources
subcategory,9.2,10.2,9.2 Participation & Inclusion,10.2 Participation & Inclusion
subcategory,10.1,11.1,10.1 Professional Knowledge & Skill,11.1 Professional Knowledge & Skill
subcategory,10.2,11.2,10.2 Instructional Practice Change,11.2 Instructional Practice Change
subcategory,10.3,11.3,10.3 Systemic Improvement,11.3 Systemic Improvement
subcategory,10.4,11.4,10.4 Family Engagement Capacity,11.4 Family Engagement Capacity
subcategory,10.5,11.5,"10.5 Program Participation, Retention & Reach (Output Metric)","11.5 Program Participation, Retention & Reach (Output Metric)"
subcategory,12.1,12.1,12.1 Parenting Knowledge & Practices,12.1 Parenting Knowledge & Practices
subcategory,12.2,12.2,12.2 Parental Resilience & Caregiver Well-being,12.2 Parental Resilience & Caregiver Well-being
subcategory,12.3,12.3,12.3 Caregiver Social Connections & Support Networks,12.3 Caregiver Social Connections & Support Networks
subcategory,12.4,12.4,12.4 Home Learning Environment,12.4 Home Learning Environment
subcategory,12.5,12.5,12.5 Household Economic Stability & Benefits Access,12.5 Household Economic Stability & Benefits Access
subcategory,12.6,12.6,12.6 Food Security & Nutrition Access,12.6 Food Security & Nutrition Access
subcategory,12.7,12.7,12.7 Housing Stability,12.7 Housing Stability
sel_header,3.1,4.1,,
sel_header,3.2,4.2,,
sel_header,3.3,4.3,,
sel_header,3.4,4.4,,
sel_header,3.5,4.5,,
proposed,8.9,9.9,CP-01-05,
proposed,1.6,2.6,CP-01-04,
proposed,11.10,1.10,CONFUSIONS.md backlog,
