row_id,outcome_text,expected_under_v2_0,expected_translated_to_3_0
E036,Students will expand their professional network through mentor introductions.,no home (deferred); 9.5 / 3.2 used,no home (deferred); Y7.3 / Y3.2 used
E037,Alumni leverage program relationships to access internships and jobs.,9.6 / 9.8 via network; no network code,Y7.4 / Y7.5 via network; no network code
E038,Students will report higher educational aspirations.,no home; 9.3 / 6.4 / 9.7 used,"no home; Y7.2 / Y5.5 (split; also Y5.4 Confidence, Self-Efficacy & Self-Worth) / Y1.18 used"
E039,Youth will develop an increased sense of possibility for their future.,6.4 (the example 'feel good about their future' is closest),"Y5.5 (split; also Y5.4 Confidence, Self-Efficacy & Self-Worth) (the example 'feel good about their future' is closest)"
E040,Students will be exposed to four art disciplines.,no home; 10.1 / 6.3 / 1.3 / 11.5 used,no home; A2.3 / Y2.6 / Y1.5 (split; also Y6.2 Civic Knowledge | Y8.3 Health Knowledge & Safety Skills) / A2.5 used
E041,Students will be exposed to careers in environmental science.,9.4,Y7.1
E042,Students will improve spatial awareness and motor coordination through dance.,no home; 8.1 used,no home; Y8.1 (split; also Y8.2 Motor & Sport Skills | Y8.3 Health Knowledge & Safety Skills | Y8.5 Health Care Access & Condition Management) used
E043,Improved body image,no home; 6.4 / 8.2 used,"no home; Y5.5 (split; also Y5.4 Confidence, Self-Efficacy & Self-Worth) / Y8.6 used"
E044,Youth will get at least 8 hours of sleep on school nights.,no home (deferred: broader physical health),no home (deferred: broader physical health)
E045,Students with IEPs will lead their own IEP meetings.,no home (deferred: self-advocacy); 7.3 / 4.4.4 candidates,no home (deferred: self-advocacy); Y6.4 / Y4.9 (merge) candidates
E046,Students with disabilities will be placed in inclusive general-education classrooms.,10.2,A2.4
E047,Families will receive school communications in their home language.,11.4 / 10.2 (deferred: language access),A2.6 / A2.4 (deferred: language access)
E048,English learners will advance one WIDA proficiency level.,1.4,Y1.2
E049,Students demonstrate improvements in:,UNCODED,UNCODED
E050,After School and summer programs,UNCODED,UNCODED
E051,We are still in the process of receiving report cards from our tutoring partner due to privacy rules.,UNCODED,UNCODED
E052,Awareness,UNCODED,UNCODED
E053,Weekly 90-minute sessions led by teaching artists,UNCODED or 11.5,UNCODED or A2.5
E054,Increase skill sets,UNCODED,UNCODED
E055,Students will report feeling less anxious before tests.,8.2,Y8.6
E056,Students will use a coping strategy before tests.,4.2.2,Y4.2 (merge)
E057,Program will maintain 85% average daily attendance.,11.5,A2.5
E058,Participating students will reduce chronic absenteeism at school.,1.5,Y1.13
E059,Students will self-report that the program improved their grades.,11.* (self-reported gain),11.* (self-reported gain)
E060,Students will feel more confident in math class.,5.4,Y1.12
E061,Youth will feel positive about their own sexuality and manage their reproductive health.,8.6,Y8.4
E062,Students will improve their math scores and make new friends.,1.2 ; 3.3,Y1.3 ; Y3.3
E063,"Youth will demonstrate improved frustration tolerance during homework time, leading to more assignments completed on time.",4.2.1|4.2.2 ; 5.1,Y4.2 (merge)|Y4.2 (merge) ; Y1.9
E064,Students will complete their homework and improve their reading level.,5.1 ; 1.1,Y1.9 ; Y1.1
E065,"Teachers gain arts-integration skills, leading to higher student engagement.",11.1 ; 5.1,A1.1 ; Y1.9
E066,Parents will attend family workshops and read to their children at home.,3.5|11.5 ; 12.4,F1.8|A2.5 ; F1.2
E067,Developed Strong Social-Emotional Competencies (grit/resilience; self-efficacy; sense of belonging),4.2.4|5.2 ; 4.1.4 ; 3.1,Y4.3 (merge)|Y1.10 ; Y5.4 (merge) ; Y3.1
E068,Students will write and perform original poems.,2.4 ; 2.5,Y2.5 (merge) ; Y2.5 (merge)
E069,Improved academic and social success,1.* ; 4.4.5|3.3,1.* ; Y4.8 (merge)|Y3.3
E070,Increased college enrollment and graduation,9.7,Y1.18
E071,"Youth increase their confidence when speaking, debating, and solving problems.",4.1.4,Y5.4 (merge)
E072,"Through weekly one-on-one mentoring, youth will identify at least one trusted adult.",3.2,Y3.2
E073,"By using theatre to create and present stories, students find the courage to live their own story with purpose.",6.4|4.1.4,"Y5.5 (split; also Y5.4 Confidence, Self-Efficacy & Self-Worth)|Y5.4 (merge)"
