old_code_2_4_0,old_label,new_code,new_label,mapping,re_review_targets
8.7,"8.7 Violence, Bullying & Injury Prevention",Y8.12,"Violence, Bullying & Victimization",one-to-one,
8.8,"8.8 Justice Involvement, Diversion & Reentry",Y8.13,"Justice Involvement, Diversion & Reentry",one-to-one,
9.1,9.1 Key Content Knowledge,Y1.5,Other Academic Subjects,split (default target; flag for re-review),Y1.1/Y1.3/Y1.4/Y1.6 by Subject Area
9.2,9.2 Key Cognitive Strategies,Y1.7,"Critical Thinking, Inquiry & Media Literacy",one-to-one,
9.3,9.3 Transition Knowledge & Skills,Y7.2,College & Career Transition Knowledge,one-to-one,
9.4,9.4 Career Awareness & Exploration,Y7.1,Career Awareness & Exploration,one-to-one,
9.5,9.5 Employability Skills,Y7.3,Employability & Workplace Skills,one-to-one,
9.6,9.6 Technical Skills & Work-Based Learning,Y7.4,"Technical Skills, Credentials & Work-Based Learning",one-to-one,
9.7,"9.7 Postsecondary Enrollment, Persistence & Completion",Y1.18,"Postsecondary Enrollment, Persistence & Completion",one-to-one,
9.8,"9.8 Employment Placement, Retention & Earnings",Y7.5,Employment & Earnings,one-to-one,
9.9,9.9 Financial Capability,Y7.6,Financial Capability,one-to-one,
10.1,10.1 Access to Resources,A2.3,Access to Resources,one-to-one,
10.2,10.2 Participation & Inclusion,A2.4,"Inclusion, Accommodations & Language Access",one-to-one,
11.1,11.1 Professional Knowledge & Skill,A1.1,Staff & Volunteer Knowledge & Skills,one-to-one,
11.2,11.2 Instructional Practice Change,A1.2,Practice Change,one-to-one,
11.3,11.3 Systemic Improvement,A3.1,Policy & Institutional Change,split (default target; flag for re-review),A3.2 (partnerships)
11.4,11.4 Family Engagement Capacity,A2.6,Family Engagement Systems,one-to-one,
11.5,"11.5 Program Participation, Retention & Reach (Output Metric)",A2.5,"Participation, Dosage & Reach (Output)",one-to-one,
12.1,12.1 Parenting Knowledge & Practices,F1.1,Parenting Knowledge & Practices,one-to-one,
12.2,12.2 Parental Resilience & Caregiver Well-being,F1.4,Caregiver Well-Being & Resilience,one-to-one,
12.3,12.3 Caregiver Social Connections & Support Networks,F1.5,Caregiver Social Connections,one-to-one,
12.4,12.4 Home Learning Environment,F1.2,Home Learning Environment & Routines,one-to-one,
12.5,12.5 Household Economic Stability & Benefits Access,F2.1,"Income, Benefits & Financial Stability",one-to-one,
12.6,12.6 Food Security & Nutrition Access,F2.2,Food Security,one-to-one,
12.7,12.7 Housing Stability,F2.3,Housing Stability & Safe Living Situation,one-to-one,
